Numéro du support;Longitude;Latitude;Position;Insee;Lieu dit;Adresse;Code postal;Commune;Nature du support;Hauteur en m;Propriétaire
2061412;-1.6877777777777778;48.13111111111111;"48°7'52.000""N 1°41'16.000""W";35238;"";12 RUE DE LA DONELIERE;35000;RENNES;Pylône tubulaire;25.5;CELLNEX
2064511;-1.7219444444444445;48.14944444444444;"48°8'58.000""N 1°43'19.000""W";35189;LE PRÉ NEUF;1 LIEU-DIT LE PRÉ NEUF;35760;MONTGERMONT;Pylône autostable;27.8;CELLNEX
2065332;-1.6344444444444446;48.13861111111111;"48°8'19.000""N 1°38'4.000""W";35238;"";RUE PATIS TATELIN;35000;RENNES;Pylône autostable;31.4;CELLNEX
2069534;-1.6813888888888888;48.11527777777778;"48°6'55.000""N 1°40'53.000""W";35238;"";PLACE SAINTE ANNE PALAIS DES CONGRES;35000;RENNES;Intérieur sous-terrain;0.0;"Commune, communauté de commune"
2074628;-1.7336111111111112;48.10027777777778;"48°6'1.000""N 1°44'1.000""W";35238;"";37 B R DU MANOIR DE SERVIGNE;35000;RENNES;Pylône autostable;31.4;CELLNEX
2075085;-1.6644444444444444;48.08583333333333;"48°5'9.000""N 1°39'52.000""W";35238;"";11  RUE DU GACET;35000;RENNES;Immeuble;25.7;Société HLM
2078503;-1.6625;48.111666666666665;"48°6'42.000""N 1°39'45.000""W";35238;"";29 RUE FRANÇOIS CHARLES OBERTHUR;35000;RENNES;Immeuble;24.0;"Copropriété, Syndic, SCI"
2079751;-1.6197222222222223;48.145;"48°8'42.000""N 1°37'11.000""W";35051;LE VIVIER;CALENDROU BORD N 136;35510;CESSON SEVIGNE;Pylône autostable;22.0;Société Privée SA
2117718;-1.6894444444444443;48.10027777777778;"48°6'1.000""N 1°41'22.000""W";35238;"";26 RUE DE BUFFERON;35000;RENNES;Pylône autostable;36.0;TOTEM
2122354;-1.708611111111111;48.10027777777778;"48°6'1.000""N 1°42'31.000""W";35238;"";1 À 11 RUE ANDRÉ TRASBOT;35000;RENNES;Bâtiment;22.3;Société HLM
2134948;-1.6541666666666668;48.10861111111111;"48°6'31.000""N 1°39'15.000""W";35238;"";10 BOULEVARD VILLEBOIS MAREUIL;35000;RENNES;Immeuble;31.3;"Copropriété, Syndic, SCI"
2137303;-1.763611111111111;48.13722222222222;"48°8'14.000""N 1°45'49.000""W";35210;"";14 AV DES TOUCHES;35740;PACE;Bâtiment;14.4;Société Privée SA
2143145;-1.6188888888888888;48.09722222222222;"48°5'50.000""N 1°37'8.000""W";35055;"";2 RUE DU BREILLOU;35135;CHANTEPIE;Pylône autostable;30.0;CELLNEX
2145347;-1.7069444444444444;48.13472222222222;"48°8'5.000""N 1°42'25.000""W";35238;LE BAS QUINCÉ;LA GRASNIERE;35200;RENNES;Pylône autostable;33.0;CELLNEX
2146931;-1.6769444444444446;48.0875;"48°5'15.000""N 1°40'37.000""W";35238;"";"1 RUE D'UPPSALA";35000;RENNES;Immeuble;46.0;"Commune, communauté de commune"
2162432;-1.662777777777778;48.1375;"48°8'15.000""N 1°39'46.000""W";35238;"";7 RUE JEAN MARIN;35000;RENNES;Bâtiment;29.9;"Copropriété, Syndic, SCI"
2199702;-1.695;48.092777777777776;"48°5'34.000""N 1°41'42.000""W";35281;"";58-68 RUE DE LA PILATE;35136;SAINT JACQUES DE LA LANDE;Immeuble;34.7;"Copropriété, Syndic, SCI"
2206904;-1.5963888888888889;48.160555555555554;"48°9'38.000""N 1°35'47.000""W";35334;LE PORTAIL;LA PETITE SAUDRAIS;35235;THORIGNE FOUILLARD;Pylône autostable;45.0;TOTEM
2208015;-1.6466666666666665;48.11361111111111;"48°6'49.000""N 1°38'48.000""W";35238;"";118 AVENUE GENERAL LECLERC;35700;RENNES;Immeuble;20.5;Société HLM
2217394;-1.6275;48.16166666666667;"48°9'42.000""N 1°37'39.000""W";35024;LES RIGNÈS;GROUPE DUBREUIL LE GRAND RIGNÈS;35830;BETTON;Bâtiment;10.0;Société Privée SA
